LOCATION,SUBJECT,TIME,VALUE
ARG,TRY_MEN,2017,17.488495
ARG,TRY_WOMEN,2017,24.951094
ARG,UPPSRY_MEN,2017,40.205902
ARG,UPPSRY_WOMEN,2017,39.937328
ARG,BUPPSRY,2017,38.528393
ARG,TRY,2017,21.406715
ARG,UPPSRY,2017,40.064892
AUS,BUPPSRY,2008,30.064018
AUS,TRY,2008,36.149986
AUS,UPPSRY,2008,33.785992
AUS,TRY_MEN,2008,33.012062
AUS,TRY_WOMEN,2008,39.232346
AUS,UPPSRY_MEN,2008,40.196865
AUS,UPPSRY_WOMEN,2008,27.488646
AUS,BUPPSRY,2009,28.972523
AUS,TRY,2009,36.881355
AUS,UPPSRY,2009,34.146122
AUS,TRY_MEN,2009,33.912621
AUS,TRY_WOMEN,2009,39.784927
AUS,UPPSRY_MEN,2009,39.860394
AUS,UPPSRY_WOMEN,2009,28.55728
AUS,BUPPSRY,2010,26.792744
AUS,TRY,2010,37.604309
AUS,UPPSRY,2010,35.602947
AUS,TRY_MEN,2010,34.390091
AUS,TRY_WOMEN,2010,40.772198
AUS,UPPSRY_MEN,2010,41.213478
AUS,UPPSRY_WOMEN,2010,30.073294
AUS,BUPPSRY,2011,25.922543
AUS,TRY,2011,38.342072
AUS,UPPSRY,2011,35.735386
AUS,TRY_MEN,2011,34.573837
AUS,TRY_WOMEN,2011,42.043972
AUS,UPPSRY_MEN,2011,40.957253
AUS,UPPSRY_WOMEN,2011,30.60544
AUS,BUPPSRY,2012,23.563389
AUS,TRY,2012,41.282364
AUS,UPPSRY,2012,35.154247
AUS,TRY_MEN,2012,37.532192
AUS,TRY_WOMEN,2012,44.97641
AUS,UPPSRY_MEN,2012,40.394192
AUS,UPPSRY_WOMEN,2012,29.992727
AUS,BUPPSRY,2013,24.28443
AUS,TRY,2013,39.539928
AUS,UPPSRY,2013,36.17564
AUS,TRY_MEN,2013,35.101803
AUS,TRY_WOMEN,2013,43.913063
AUS,UPPSRY_MEN,2013,41.56715
AUS,UPPSRY_WOMEN,2013,30.863087
AUS,BUPPSRY,2014,22.895836
AUS,TRY,2014,41.901855
AUS,UPPSRY,2014,35.202309
AUS,TRY_MEN,2014,38.390442
AUS,TRY_WOMEN,2014,45.340527
AUS,UPPSRY_MEN,2014,40.178089
AUS,UPPSRY_WOMEN,2014,30.329605
AUS,BUPPSRY,2015,20.980896
AUS,TRY,2015,42.888756
AUS,UPPSRY,2015,36.130348
AUS,TRY_MEN,2015,38.441013
AUS,TRY_WOMEN,2015,47.239651
AUS,UPPSRY_MEN,2015,41.919979
AUS,UPPSRY_WOMEN,2015,30.466787
AUS,BUPPSRY,2016,20.067352
AUS,TRY,2016,43.7439
AUS,UPPSRY,2016,36.188747
AUS,TRY_MEN,2016,39.76762
AUS,TRY_WOMEN,2016,47.630001
AUS,UPPSRY_MEN,2016,40.824184
AUS,UPPSRY_WOMEN,2016,31.658438
AUS,BUPPSRY,2017,19.012659
AUS,TRY,2017,45.355675
AUS,UPPSRY,2017,35.631668
AUS,TRY_MEN,2017,40.425915
AUS,TRY_WOMEN,2017,50.127247
AUS,UPPSRY_MEN,2017,41.172245
AUS,UPPSRY_WOMEN,2017,30.268877
AUT,BUPPSRY,2008,19.120087
AUT,TRY,2008,26.191858
AUT,UPPSRY,2008,54.688057
AUT,TRY_MEN,2008,28.911415
AUT,TRY_WOMEN,2008,23.499393
AUT,UPPSRY_MEN,2008,57.617115
AUT,UPPSRY_WOMEN,2008,51.788177
AUT,BUPPSRY,2009,18.354979
AUT,TRY,2009,26.895824
AUT,UPPSRY,2009,54.749195
AUT,TRY_MEN,2009,29.133034
AUT,TRY_WOMEN,2009,24.682976
AUT,UPPSRY_MEN,2009,58.11142
AUT,UPPSRY_WOMEN,2009,51.423588
AUT,BUPPSRY,2010,17.647495
AUT,TRY,2010,27.743721
AUT,UPPSRY,2010,54.608784
AUT,TRY_MEN,2010,29.628262
AUT,TRY_WOMEN,2010,25.881966
AUT,UPPSRY_MEN,2010,57.820152
AUT,UPPSRY_WOMEN,2010,51.436245
AUT,BUPPSRY,2011,17.636829
AUT,TRY,2011,27.956152
AUT,UPPSRY,2011,54.407017
AUT,TRY_MEN,2011,29.97986
AUT,TRY_WOMEN,2011,25.959198
AUT,UPPSRY_MEN,2011,57.245796
AUT,UPPSRY_WOMEN,2011,51.605766
AUT,BUPPSRY,2012,17.08353
AUT,TRY,2012,28.739943
AUT,UPPSRY,2012,54.176529
AUT,TRY_MEN,2012,30.735928
AUT,TRY_WOMEN,2012,26.770844
AUT,UPPSRY_MEN,2012,56.999569
AUT,UPPSRY_WOMEN,2012,51.391518
AUT,BUPPSRY,2013,17.028002
AUT,TRY,2013,29.738844
AUT,UPPSRY,2013,53.233154
AUT,TRY_MEN,2013,31.345707
AUT,TRY_WOMEN,2013,28.151951
AUT,UPPSRY_MEN,2013,56.057396
AUT,UPPSRY_WOMEN,2013,50.444016
AUT,BUPPSRY,2014,16.143999
AUT,TRY,2014,29.904896
AUT,UPPSRY,2014,53.951103
AUT,TRY_MEN,2014,31.201277
AUT,TRY_WOMEN,2014,28.621651
AUT,UPPSRY_MEN,2014,56.800148
AUT,UPPSRY_WOMEN,2014,51.130924
AUT,BUPPSRY,2015,15.351305
AUT,TRY,2015,30.550726
AUT,UPPSRY,2015,54.097969
AUT,TRY_MEN,2015,31.968834
AUT,TRY_WOMEN,2015,29.142385
AUT,UPPSRY_MEN,2015,56.698669
AUT,UPPSRY_WOMEN,2015,51.515179
AUT,BUPPSRY,2016,15.471591
AUT,TRY,2016,31.383963
AUT,UPPSRY,2016,53.144444
AUT,TRY_MEN,2016,32.170181
AUT,TRY_WOMEN,2016,30.600239
AUT,UPPSRY_MEN,2016,56.066723
AUT,UPPSRY_WOMEN,2016,50.231434
AUT,BUPPSRY,2017,15.037577
AUT,TRY,2017,32.39439
AUT,UPPSRY,2017,52.568035
AUT,TRY_MEN,2017,32.91766
AUT,TRY_WOMEN,2017,31.872847
AUT,UPPSRY_MEN,2017,55.365974
AUT,UPPSRY_WOMEN,2017,49.77932
BEL,BUPPSRY,2008,30.423817
BEL,TRY,2008,32.310043
BEL,UPPSRY,2008,37.26614
BEL,TRY_MEN,2008,30.659477
BEL,TRY_WOMEN,2008,33.974564
BEL,UPPSRY_MEN,2008,38.871017
BEL,UPPSRY_WOMEN,2008,35.647694
BEL,BUPPSRY,2009,29.427107
BEL,TRY,2009,33.397053
BEL,UPPSRY,2009,37.175842
BEL,TRY_MEN,2009,31.480886
BEL,TRY_WOMEN,2009,35.328266
BEL,UPPSRY_MEN,2009,38.936413
BEL,UPPSRY_WOMEN,2009,35.401447
BEL,BUPPSRY,2010,29.500488
BEL,TRY,2010,34.989502
BEL,UPPSRY,2010,35.51001
BEL,TRY_MEN,2010,33.003326
BEL,TRY_WOMEN,2010,36.989594
BEL,UPPSRY_MEN,2010,36.970116
BEL,UPPSRY_WOMEN,2010,34.039673
BEL,BUPPSRY,2011,28.733294
BEL,TRY,2011,34.612984
BEL,UPPSRY,2011,36.653725
BEL,TRY_MEN,2011,32.419769
BEL,TRY_WOMEN,2011,36.821182
BEL,UPPSRY_MEN,2011,38.225685
BEL,UPPSRY_WOMEN,2011,35.071022
BEL,BUPPSRY,2012,28.356371
BEL,TRY,2012,35.316551
BEL,UPPSRY,2012,36.32708
BEL,TRY_MEN,2012,32.722958
BEL,TRY_WOMEN,2012,37.926952
BEL,UPPSRY_MEN,2012,38.017979
BEL,UPPSRY_WOMEN,2012,34.625221
BEL,BUPPSRY,2013,27.241648
BEL,TRY,2013,35.535332
BEL,UPPSRY,2013,37.223022
BEL,TRY_MEN,2013,32.801338
BEL,TRY_WOMEN,2013,38.285236
BEL,UPPSRY_MEN,2013,38.914539
BEL,UPPSRY_WOMEN,2013,35.52166
BEL,BUPPSRY,2014,26.44935
BEL,TRY,2014,36.855022
BEL,UPPSRY,2014,36.695625
BEL,TRY_MEN,2014,33.864967
BEL,TRY_WOMEN,2014,39.860054
BEL,UPPSRY_MEN,2014,38.559349
BEL,UPPSRY_WOMEN,2014,34.822571
BEL,BUPPSRY,2015,25.322903
BEL,TRY,2015,36.857422
BEL,UPPSRY,2015,37.819675
BEL,TRY_MEN,2015,33.639149
BEL,TRY_WOMEN,2015,40.091373
BEL,UPPSRY_MEN,2015,39.955494
BEL,UPPSRY_WOMEN,2015,35.67345
BEL,BUPPSRY,2016,24.905834
BEL,TRY,2016,37.503956
BEL,UPPSRY,2016,37.59021
BEL,TRY_MEN,2016,34.192955
BEL,TRY_WOMEN,2016,40.828674
BEL,UPPSRY_MEN,2016,40.122162
BEL,UPPSRY_WOMEN,2016,35.047768
BEL,BUPPSRY,2017,23.202787
BEL,TRY,2017,40.257053
BEL,UPPSRY,2017,36.540157
BEL,TRY_MEN,2017,36.858852
BEL,TRY_WOMEN,2017,43.657627
BEL,UPPSRY_MEN,2017,39.073261
BEL,UPPSRY_WOMEN,2017,34.005287
BRA,BUPPSRY,2008,61.161831
BRA,TRY,2008,10.795494
BRA,UPPSRY,2008,28.042675
BRA,TRY_MEN,2008,9.4541426
BRA,TRY_WOMEN,2008,12.012922
BRA,UPPSRY_MEN,2008,27.154696
BRA,UPPSRY_WOMEN,2008,28.848614
BRA,BUPPSRY,2009,59.32708
BRA,TRY,2009,10.863071
BRA,UPPSRY,2009,29.809849
BRA,TRY_MEN,2009,9.7053852
BRA,TRY_WOMEN,2009,11.914505
BRA,UPPSRY_MEN,2009,28.805014
BRA,UPPSRY_WOMEN,2009,30.72246
BRA,BUPPSRY,2011,56.729549
BRA,TRY,2011,11.614742
BRA,UPPSRY,2011,31.655708
BRA,TRY_MEN,2011,10.218488
BRA,TRY_WOMEN,2011,12.884999
BRA,UPPSRY_MEN,2011,30.386244
BRA,UPPSRY_WOMEN,2011,32.810619
BRA,BUPPSRY,2012,54.996342
BRA,TRY,2012,12.993286
BRA,UPPSRY,2012,32.010372
BRA,TRY_MEN,2012,11.10502
BRA,TRY_WOMEN,2012,14.725452
BRA,UPPSRY_MEN,2012,31.220385
BRA,UPPSRY_WOMEN,2012,32.735054
BRA,BUPPSRY,2013,53.588863
BRA,TRY,2013,13.746482
BRA,UPPSRY,2013,32.664654
BRA,TRY_MEN,2013,11.730762
BRA,TRY_WOMEN,2013,15.589705
BRA,UPPSRY_MEN,2013,31.578886
BRA,UPPSRY_WOMEN,2013,33.657509
BRA,BUPPSRY,2014,52.637005
BRA,TRY,2014,14.321353
BRA,UPPSRY,2014,33.041641
BRA,TRY_MEN,2014,12.018951
BRA,TRY_WOMEN,2014,16.425022
BRA,UPPSRY_MEN,2014,32.136848
BRA,UPPSRY_WOMEN,2014,33.868336
BRA,BUPPSRY,2015,51.127499
BRA,TRY,2015,14.794608
BRA,UPPSRY,2015,34.077896
BRA,TRY_MEN,2015,12.590186
BRA,TRY_WOMEN,2015,16.803698
BRA,UPPSRY_MEN,2015,33.163525
BRA,UPPSRY_WOMEN,2015,34.91124
CAN,BUPPSRY,2008,13.003522
CAN,TRY,2008,48.706802
CAN,UPPSRY,2008,38.289677
CAN,TRY_MEN,2008,44.45549
CAN,TRY_WOMEN,2008,52.928272
CAN,UPPSRY_MEN,2008,41.263531
CAN,UPPSRY_WOMEN,2008,35.336697
CAN,BUPPSRY,2009,12.468069
CAN,TRY,2009,49.290722
CAN,UPPSRY,2009,38.241207
CAN,TRY_MEN,2009,44.847889
CAN,TRY_WOMEN,2009,53.706112
CAN,UPPSRY_MEN,2009,41.46767
CAN,UPPSRY_WOMEN,2009,35.034676
CAN,BUPPSRY,2010,11.736887
CAN,TRY,2010,50.311695
CAN,UPPSRY,2010,37.95142
CAN,TRY_MEN,2010,45.417297
CAN,TRY_WOMEN,2010,55.174629
CAN,UPPSRY_MEN,2010,41.546257
CAN,UPPSRY_WOMEN,2010,34.379688
CAN,BUPPSRY,2011,11.368477
CAN,TRY,2011,51.033012
CAN,UPPSRY,2011,37.598511
CAN,TRY_MEN,2011,45.958946
CAN,TRY_WOMEN,2011,56.068321
CAN,UPPSRY_MEN,2011,41.415436
CAN,UPPSRY_WOMEN,2011,33.810738
CAN,BUPPSRY,2012,11.035321
CAN,TRY,2012,52.305416
CAN,UPPSRY,2012,36.659264
CAN,TRY_MEN,2012,46.772137
CAN,TRY_WOMEN,2012,57.794395
CAN,UPPSRY_MEN,2012,40.879166
CAN,UPPSRY_WOMEN,2012,32.473141
CAN,BUPPSRY,2013,10.45779
CAN,TRY,2013,52.971439
CAN,UPPSRY,2013,36.57077
CAN,TRY_MEN,2013,47.163643
CAN,TRY_WOMEN,2013,58.730656
CAN,UPPSRY_MEN,2013,40.995361
CAN,UPPSRY_WOMEN,2013,32.183186
CAN,BUPPSRY,2014,10.011459
CAN,TRY,2014,53.61496
CAN,UPPSRY,2014,36.373581
CAN,TRY_MEN,2014,48.053173
CAN,TRY_WOMEN,2014,59.124844
CAN,UPPSRY_MEN,2014,40.611263
CAN,UPPSRY_WOMEN,2014,32.175446
CAN,BUPPSRY,2015,9.5978909
CAN,TRY,2015,55.17366
CAN,UPPSRY,2015,35.228447
CAN,TRY_MEN,2015,49.226135
CAN,TRY_WOMEN,2015,61.063675
CAN,UPPSRY_MEN,2015,40.012466
CAN,UPPSRY_WOMEN,2015,30.49069
CAN,BUPPSRY,2016,9.3911886
CAN,TRY,2016,56.265068
CAN,UPPSRY,2016,34.343746
CAN,TRY_MEN,2016,50.077358
CAN,TRY_WOMEN,2016,62.385227
CAN,UPPSRY_MEN,2016,39.174831
CAN,UPPSRY_WOMEN,2016,29.565395
CAN,BUPPSRY,2017,8.8729382
CAN,TRY,2017,56.71452
CAN,UPPSRY,2017,34.412544
CAN,TRY_MEN,2017,50.368702
CAN,TRY_WOMEN,2017,62.985828
CAN,UPPSRY_MEN,2017,39.287178
CAN,UPPSRY_WOMEN,2017,29.595142
CHE,BUPPSRY,2008,13.19206
CHE,TRY,2008,33.652287
CHE,UPPSRY,2008,53.155655
CHE,TRY_MEN,2008,41.566307
CHE,TRY_WOMEN,2008,25.715227
CHE,UPPSRY_MEN,2008,48.812756
CHE,UPPSRY_WOMEN,2008,57.511192
CHE,BUPPSRY,2009,13.083202
CHE,TRY,2009,35.020153
CHE,UPPSRY,2009,51.896645
CHE,TRY_MEN,2009,42.763367
CHE,TRY_WOMEN,2009,27.210806
CHE,UPPSRY_MEN,2009,47.681431
CHE,UPPSRY_WOMEN,2009,56.147861
CHE,BUPPSRY,2010,14.966761
CHE,TRY,2010,33.881504
CHE,UPPSRY,2010,51.151737
CHE,TRY_MEN,2010,40.156902
CHE,TRY_WOMEN,2010,27.546822
CHE,UPPSRY_MEN,2010,48.062408
CHE,UPPSRY_WOMEN,2010,54.270248
CHE,BUPPSRY,2011,15.176706
CHE,TRY,2011,34.000179
CHE,UPPSRY,2011,50.823112
CHE,TRY_MEN,2011,39.874985
CHE,TRY_WOMEN,2011,28.06905
CHE,UPPSRY_MEN,2011,47.932545
CHE,UPPSRY_WOMEN,2011,53.741398
CHE,BUPPSRY,2012,14.334973
CHE,TRY,2012,35.291126
CHE,UPPSRY,2012,50.373901
CHE,TRY_MEN,2012,41.201698
CHE,TRY_WOMEN,2012,29.316168
CHE,UPPSRY_MEN,2012,47.09425
CHE,UPPSRY_WOMEN,2012,53.689278
CHE,BUPPSRY,2013,13.589899
CHE,TRY,2013,37.407192
CHE,UPPSRY,2013,49.002911
CHE,TRY_MEN,2013,43.047722
CHE,TRY_WOMEN,2013,31.693689
CHE,UPPSRY_MEN,2013,45.523087
CHE,UPPSRY_WOMEN,2013,52.527752
CHE,BUPPSRY,2014,12.776213
CHE,TRY,2014,38.428497
CHE,UPPSRY,2014,48.795288
CHE,TRY_MEN,2014,43.59951
CHE,TRY_WOMEN,2014,33.176338
